Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"NYIRADI, Reka",2004,HUN,02:15.8,31.75,33.88,35.29,f,Butterfly
"FONTANA, Chiara",2004,ITA,02:16.0,31.79,34.54,34.99,f,Butterfly
"DENIZLI, Sudem",2005,TUR,02:16.2,32.1,34.21,34.92,f,Butterfly
"PALICKA, Wiktoria",2005,POL,02:16.5,31.79,34.59,35.43,f,Butterfly
"SEIDEL, Lise",2006,GER,02:16.6,31.4,34.61,35.44,f,Butterfly
"SAUNDERS, Rachel",2005,GBR,02:17.7,32.27,34.29,35.54,f,Butterfly
"SHARAFUTDINOVA, Nika",2005,UKR,02:18.4,31.86,35.15,36.47,f,Butterfly
"KASVIO, Louna",2006,FIN,02:19.4,33.09,35.6,35.85,f,Butterfly
"VERDONCK, Fleur",2006,BEL,02:19.8,32.3,34.96,36.39,f,Butterfly
"SPEHAR, Nika",2004,CRO,02:19.9,33.39,35.18,35.5,f,Butterfly
"NORBY, Kristine Nilsson",2005,DEN,02:20.1,32.12,35.11,36.08,f,Butterfly
"MARIN, Ioana",2005,ROU,02:21.5,31.93,34.71,36.82,f,Butterfly
"TRENTKIEWICZ, Dominika",2004,POL,02:21.7,32.92,35.7,36.77,f,Butterfly
"VALDMAA, Laura-Liis",2004,EST,02:22.2,31.9,35.63,37.44,f,Butterfly
"ROVERSI, Paola",2005,ITA,02:22.4,32.77,35.35,37,f,Butterfly
"DOGAN, Goeksu",2005,TUR,02:23.3,32.45,35.82,37.3,f,Butterfly
"ERLENDSDOTTIR, Elisabeth",2005,FAR,02:24.4,33.33,36.55,37.35,f,Butterfly
"BERANEK, Sophie",2006,AUT,02:25.1,32.9,36.42,37.86,f,Butterfly
"GERIKSONAITE, Patricija",2007,LTU,02:27.3,33.26,37.49,38.64,f,Butterfly
"XHEMOLLARI, Vivian",2006,ALB,02:28.7,34.43,37.48,37.79,f,Butterfly
"BEQIRI, Jona",2006,KOS,02:31.0,35.79,38.91,39.14,f,Butterfly
"MURPHY, Ryan F",1995,USA,01:53.6,27.1,28.46,28.97,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:54.0,26.61,28.96,29.18,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:54.0,27.01,28.84,29.4,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.2,27.31,29.46,29.25,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:55.5,27.12,28.87,29.4,m,Freestyle
"LI, Guangyuan",1997,CHN,01:55.9,27.5,29.01,29.71,m,Freestyle
"DIENER, Christian",1993,GER,01:56.3,26.87,28.93,30.2,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.4,27.16,29.63,29.68,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:54.5,27.06,29.07,29.17,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:54.7,26.69,29.02,29.46,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:54.9,26.97,28.76,29.64,m,Freestyle
"MURPHY, Ryan F",1995,USA,01:55.1,26.89,29.39,29.93,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.7,27.3,29.26,29.71,m,Freestyle
"LI, Guangyuan",1997,CHN,01:55.9,27.52,29.32,29.62,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.3,27.18,29.53,30.18,m,Freestyle
"DIENER, Christian",1993,GER,01:56.4,27.11,29.45,29.82,m,Freestyle
"GLANIA, Jan-Philip",1988,GER,01:56.5,27.28,29.66,30.36,m,Freestyle
"BEAVER, Josh",1993,AUS,01:56.6,26.4,29.8,30.04,m,Freestyle
"KANEKO, Masaki",1992,JPN,01:56.8,27.09,29.62,29.88,m,Freestyle
"SHABASOV, Andrey",1994,RUS,01:56.8,27.6,29.03,30.45,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:57.7,27.53,29.4,30.48,m,Freestyle
"MAIN, Corey C",1995,NZL,01:58.1,27.93,29.62,30.18,m,Freestyle
"TOUMARKIN, Yakov Yan",1992,ISR,01:58.6,27.48,29.79,30.48,m,Freestyle
"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,01:59.1,28.06,30.35,30.7,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:55.0,27.41,29.67,29.12,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.5,27.54,29.16,29.46,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:56.0,27.03,29.66,29.8,m,Freestyle
"MURPHY, Ryan F",1995,USA,01:56.3,27.33,29.4,29.63,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:56.4,27.54,29.73,29.9,m,Freestyle
"SHABASOV, Andrey",1994,RUS,01:56.5,27.38,28.95,30.49,m,Freestyle
"GLANIA, Jan-Philip",1988,GER,01:56.5,27.29,29.86,29.9,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.6,27.41,29.89,29.9,m,Freestyle
"DIENER, Christian",1993,GER,01:56.6,26.88,29.76,29.68,m,Freestyle
"BEAVER, Josh",1993,AUS,01:56.6,27.12,29.85,29.78,m,Freestyle
"LI, Guangyuan",1997,CHN,01:56.8,27.52,29.18,29.98,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:57.0,27.31,29.44,29.9,m,Freestyle
"KANEKO, Masaki",1992,JPN,01:57.2,27.53,29.45,30.17,m,Freestyle
"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,01:57.5,27.13,30.12,30.16,m,Freestyle
"MAIN, Corey C",1995,NZL,01:57.5,28,29.38,30.08,m,Freestyle
"TOUMARKIN, Yakov Yan",1992,ISR,01:57.6,27.47,29.66,29.93,m,Freestyle
"KAWECKI, Radoslaw",1991,POL,01:57.6,27.71,30.14,30.02,m,Freestyle
"GLINTA, Robert",1997,ROU,01:57.9,27.69,30.02,30.63,m,Freestyle
"TELEGDY, Adam",1995,HUN,01:59.1,27.88,29.54,30.71,m,Freestyle
"TULLIUS, Rexford C",1987,ISV,01:59.1,27.52,29.58,30.54,m,Freestyle
"RAPSYS, Danas",1995,LTU,01:59.6,27.86,30.85,30.36,m,Freestyle
"FOLDHAZI, David",1995,HUN,01:59.7,27.5,30.1,30.8,m,Freestyle
"PINZON, Omar",1989,COL,01:59.7,27.72,29.47,30.74,m,Freestyle
"CHRISTOU, Apostolos",1996,GRE,01:59.8,27.6,29.77,31.08,m,Freestyle
"TSMYH, Mikita",1997,BLR,02:01.0,27.49,29.76,31.2,m,Freestyle
"KIRILLOV, Boris",1992,AZE,02:05.0,28.46,31.46,32.12,m,Freestyle
"DIRADO, Madeline J",1993,USA,02:06.0,29.69,31.78,31.73,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.1,29.37,31.53,31.82,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.5,30.18,31.67,32.58,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:07.9,30.93,32.16,33.01,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:08.0,30.18,31.82,32.43,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.8,30.77,32.48,33.12,f,Freestyle
"LIU, Yaxin",1999,CHN,02:09.0,31.52,32.83,32.91,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:09.4,29.96,32.62,33.3,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.0,29.87,31.5,32.34,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.2,30.24,31.89,32.46,f,Freestyle
"DIRADO, Madeline J",1993,USA,02:07.5,30.37,31.89,32.76,f,Freestyle
"LIU, Yaxin",1999,CHN,02:07.6,30.81,32.53,32.52,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:07.8,30.46,32.15,32.56,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.8,30.34,32.87,33.3,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:08.8,30.25,32.53,33.09,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:08.8,30.34,32.44,33.44,f,Freestyle
"BOUCHARD, Dominique",1991,CAN,02:09.1,31.78,32.13,32.26,f,Freestyle
"ZEVINA, Daryna",1994,UKR,02:09.1,30.82,32.61,33.18,f,Freestyle
"FESIKOVA, Anastasia",1990,RUS,02:09.1,30.18,32.99,32.99,f,Freestyle
"SEEBOHM, Emily",1992,AUS,02:09.4,30.19,33.28,33.09,f,Freestyle
"GRAF, Lisa",1992,GER,02:09.6,31.42,32.17,33.03,f,Freestyle
"FRANKLIN, Melissa",1995,USA,02:09.7,30.91,32.43,33.09,f,Freestyle
"SAMARDZIC, Matea",1995,CRO,02:09.8,30.95,32.4,33.4,f,Freestyle
"MENSING, Jenny",1986,GER,02:10.1,30.5,32.26,33.52,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.1,29.97,31.66,32.28,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.4,30.11,31.96,32.61,f,Freestyle
"DIRADO, Madeline J",1993,USA,02:08.6,30.62,32.29,32.88,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:08.7,31.15,32.22,32.66,f,Freestyle
"GRAF, Lisa",1992,GER,02:08.7,31.25,32.32,32.48,f,Freestyle
"LIU, Yaxin",1999,CHN,02:08.8,31.26,32.49,32.67,f,Freestyle
"BOUCHARD, Dominique",1991,CAN,02:08.9,31.24,32.21,32.2,f,Freestyle
"ZEVINA, Daryna",1994,UKR,02:08.9,31.21,33.13,32.52,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.9,30.29,32.8,32.9,f,Freestyle
"SEEBOHM, Emily",1992,AUS,02:09.0,30.64,33.21,32.98,f,Freestyle
"FRANKLIN, Melissa",1995,USA,02:09.4,30.79,32.27,33.1,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:09.6,30.16,32.8,32.98,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:10.0,31.12,32.41,33.17,f,Freestyle
"FESIKOVA, Anastasia",1990,RUS,02:10.4,31.25,32.93,33.06,f,Freestyle
"SAMARDZIC, Matea",1995,CRO,02:10.5,31.06,33.21,32.96,f,Freestyle
"MENSING, Jenny",1986,GER,02:10.7,31.21,32.66,33.28,f,Freestyle
"PANZIERA, Margherita",1995,ITA,02:10.9,31.36,32.64,33.42,f,Freestyle
"LAU, Claudia",1992,HKG,02:10.9,31.88,33.13,33.2,f,Freestyle
"DA ROCHA MARCE, Duane",1988,ESP,02:11.2,31.19,33.4,33.22,f,Freestyle
"TCHORZ, Alicja",1992,POL,02:11.4,30.87,33.06,33.88,f,Freestyle
"AVRAMOVA, Ekaterina",1991,TUR,02:13.0,30.68,33.27,34.57,f,Freestyle
"GYORGY, Reka",1996,HUN,02:13.0,30.84,33.21,33.68,f,Freestyle
"KUBOVA (BAUMRTOVA), Simona",1991,CZE,02:13.3,30.77,32.97,33.34,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:13.5,32.11,34.26,33.71,f,Freestyle
"ZAMORANO SANZ, Africa",1998,ESP,02:13.7,31.85,33.05,34.23,f,Freestyle
"SAKAI, Natsumi",2001,JPN,02:14.0,30.07,32.63,35.61,f,Freestyle
"CHEN, Jie",1995,CHN,02:14.2,30.94,33.83,34.02,f,Freestyle
"YOSAPUTRA, Yessy V",1994,INA,02:20.9,32.69,35,36.65,f,Freestyle
"MURPHY, Ryan F",1995,USA,01:53.6,27.1,28.46,28.97,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:54.0,26.61,28.96,29.18,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:54.0,27.01,28.84,29.4,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.2,27.31,29.46,29.25,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:55.5,27.12,28.87,29.4,m,Freestyle
"LI, Guangyuan",1997,CHN,01:55.9,27.5,29.01,29.71,m,Freestyle
"DIENER, Christian",1993,GER,01:56.3,26.87,28.93,30.2,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.4,27.16,29.63,29.68,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:54.5,27.06,29.07,29.17,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:54.7,26.69,29.02,29.46,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:54.9,26.97,28.76,29.64,m,Freestyle
"MURPHY, Ryan F",1995,USA,01:55.1,26.89,29.39,29.93,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.7,27.3,29.26,29.71,m,Freestyle
"LI, Guangyuan",1997,CHN,01:55.9,27.52,29.32,29.62,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.3,27.18,29.53,30.18,m,Freestyle
"DIENER, Christian",1993,GER,01:56.4,27.11,29.45,29.82,m,Freestyle
"GLANIA, Jan-Philip",1988,GER,01:56.5,27.28,29.66,30.36,m,Freestyle
"BEAVER, Josh",1993,AUS,01:56.6,26.4,29.8,30.04,m,Freestyle
"KANEKO, Masaki",1992,JPN,01:56.8,27.09,29.62,29.88,m,Freestyle
"SHABASOV, Andrey",1994,RUS,01:56.8,27.6,29.03,30.45,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:57.7,27.53,29.4,30.48,m,Freestyle
"MAIN, Corey C",1995,NZL,01:58.1,27.93,29.62,30.18,m,Freestyle
"TOUMARKIN, Yakov Yan",1992,ISR,01:58.6,27.48,29.79,30.48,m,Freestyle
"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,01:59.1,28.06,30.35,30.7,m,Freestyle
"RYLOV, Evgeny",1996,RUS,01:55.0,27.41,29.67,29.12,m,Freestyle
"XU, Jiayu",1995,CHN,01:55.5,27.54,29.16,29.46,m,Freestyle
"LARKIN, Mitchell",1993,AUS,01:56.0,27.03,29.66,29.8,m,Freestyle
"MURPHY, Ryan F",1995,USA,01:56.3,27.33,29.4,29.63,m,Freestyle
"PEBLEY, Jacob M",1993,USA,01:56.4,27.54,29.73,29.9,m,Freestyle
"SHABASOV, Andrey",1994,RUS,01:56.5,27.38,28.95,30.49,m,Freestyle
"GLANIA, Jan-Philip",1988,GER,01:56.5,27.29,29.86,29.9,m,Freestyle
"IRIE, Ryosuke",1990,JPN,01:56.6,27.41,29.89,29.9,m,Freestyle
"DIENER, Christian",1993,GER,01:56.6,26.88,29.76,29.68,m,Freestyle
"BEAVER, Josh",1993,AUS,01:56.6,27.12,29.85,29.78,m,Freestyle
"LI, Guangyuan",1997,CHN,01:56.8,27.52,29.18,29.98,m,Freestyle
"DE DEUS, Leonardo",1991,BRA,01:57.0,27.31,29.44,29.9,m,Freestyle
"KANEKO, Masaki",1992,JPN,01:57.2,27.53,29.45,30.17,m,Freestyle
"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,01:57.5,27.13,30.12,30.16,m,Freestyle
"MAIN, Corey C",1995,NZL,01:57.5,28,29.38,30.08,m,Freestyle
"TOUMARKIN, Yakov Yan",1992,ISR,01:57.6,27.47,29.66,29.93,m,Freestyle
"KAWECKI, Radoslaw",1991,POL,01:57.6,27.71,30.14,30.02,m,Freestyle
"GLINTA, Robert",1997,ROU,01:57.9,27.69,30.02,30.63,m,Freestyle
"TELEGDY, Adam",1995,HUN,01:59.1,27.88,29.54,30.71,m,Freestyle
"TULLIUS, Rexford C",1987,ISV,01:59.1,27.52,29.58,30.54,m,Freestyle
"RAPSYS, Danas",1995,LTU,01:59.6,27.86,30.85,30.36,m,Freestyle
"FOLDHAZI, David",1995,HUN,01:59.7,27.5,30.1,30.8,m,Freestyle
"PINZON, Omar",1989,COL,01:59.7,27.72,29.47,30.74,m,Freestyle
"CHRISTOU, Apostolos",1996,GRE,01:59.8,27.6,29.77,31.08,m,Freestyle
"TSMYH, Mikita",1997,BLR,02:01.0,27.49,29.76,31.2,m,Freestyle
"KIRILLOV, Boris",1992,AZE,02:05.0,28.46,31.46,32.12,m,Freestyle
"DIRADO, Madeline J",1993,USA,02:06.0,29.69,31.78,31.73,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.1,29.37,31.53,31.82,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.5,30.18,31.67,32.58,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:07.9,30.93,32.16,33.01,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:08.0,30.18,31.82,32.43,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.8,30.77,32.48,33.12,f,Freestyle
"LIU, Yaxin",1999,CHN,02:09.0,31.52,32.83,32.91,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:09.4,29.96,32.62,33.3,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.0,29.87,31.5,32.34,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.2,30.24,31.89,32.46,f,Freestyle
"DIRADO, Madeline J",1993,USA,02:07.5,30.37,31.89,32.76,f,Freestyle
"LIU, Yaxin",1999,CHN,02:07.6,30.81,32.53,32.52,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:07.8,30.46,32.15,32.56,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.8,30.34,32.87,33.3,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:08.8,30.25,32.53,33.09,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:08.8,30.34,32.44,33.44,f,Freestyle
"BOUCHARD, Dominique",1991,CAN,02:09.1,31.78,32.13,32.26,f,Freestyle
"ZEVINA, Daryna",1994,UKR,02:09.1,30.82,32.61,33.18,f,Freestyle
"FESIKOVA, Anastasia",1990,RUS,02:09.1,30.18,32.99,32.99,f,Freestyle
"SEEBOHM, Emily",1992,AUS,02:09.4,30.19,33.28,33.09,f,Freestyle
"GRAF, Lisa",1992,GER,02:09.6,31.42,32.17,33.03,f,Freestyle
"FRANKLIN, Melissa",1995,USA,02:09.7,30.91,32.43,33.09,f,Freestyle
"SAMARDZIC, Matea",1995,CRO,02:09.8,30.95,32.4,33.4,f,Freestyle
"MENSING, Jenny",1986,GER,02:10.1,30.5,32.26,33.52,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:06.1,29.97,31.66,32.28,f,Freestyle
"CALDWELL, Hilary",1991,CAN,02:07.4,30.11,31.96,32.61,f,Freestyle
"DIRADO, Madeline J",1993,USA,02:08.6,30.62,32.29,32.88,f,Freestyle
"HOCKING, Belinda",1990,AUS,02:08.7,31.15,32.22,32.66,f,Freestyle
"GRAF, Lisa",1992,GER,02:08.7,31.25,32.32,32.48,f,Freestyle
"LIU, Yaxin",1999,CHN,02:08.8,31.26,32.49,32.67,f,Freestyle
"BOUCHARD, Dominique",1991,CAN,02:08.9,31.24,32.21,32.2,f,Freestyle
"ZEVINA, Daryna",1994,UKR,02:08.9,31.21,33.13,32.52,f,Freestyle
"COVENTRY, Kirsty",1983,ZIM,02:08.9,30.29,32.8,32.9,f,Freestyle
"SEEBOHM, Emily",1992,AUS,02:09.0,30.64,33.21,32.98,f,Freestyle
"FRANKLIN, Melissa",1995,USA,02:09.4,30.79,32.27,33.1,f,Freestyle
"GUSTAFSDOTTIR, Eyglo Osk",1995,ISL,02:09.6,30.16,32.8,32.98,f,Freestyle
"USTINOVA, Daria",1998,RUS,02:10.0,31.12,32.41,33.17,f,Freestyle
"FESIKOVA, Anastasia",1990,RUS,02:10.4,31.25,32.93,33.06,f,Freestyle
"SAMARDZIC, Matea",1995,CRO,02:10.5,31.06,33.21,32.96,f,Freestyle
"MENSING, Jenny",1986,GER,02:10.7,31.21,32.66,33.28,f,Freestyle
"PANZIERA, Margherita",1995,ITA,02:10.9,31.36,32.64,33.42,f,Freestyle
"LAU, Claudia",1992,HKG,02:10.9,31.88,33.13,33.2,f,Freestyle
"DA ROCHA MARCE, Duane",1988,ESP,02:11.2,31.19,33.4,33.22,f,Freestyle
"TCHORZ, Alicja",1992,POL,02:11.4,30.87,33.06,33.88,f,Freestyle
"AVRAMOVA, Ekaterina",1991,TUR,02:13.0,30.68,33.27,34.57,f,Freestyle
"GYORGY, Reka",1996,HUN,02:13.0,30.84,33.21,33.68,f,Freestyle
"KUBOVA (BAUMRTOVA), Simona",1991,CZE,02:13.3,30.77,32.97,33.34,f,Freestyle
"VAN BERKEL, Martina Eva",1989,SUI,02:13.5,32.11,34.26,33.71,f,Freestyle
"ZAMORANO SANZ, Africa",1998,ESP,02:13.7,31.85,33.05,34.23,f,Freestyle
"SAKAI, Natsumi",2001,JPN,02:14.0,30.07,32.63,35.61,f,Freestyle
"CHEN, Jie",1995,CHN,02:14.2,30.94,33.83,34.02,f,Freestyle
"YOSAPUTRA, Yessy V",1994,INA,02:20.9,32.69,35,36.65,f,Freestyle
"KOLESNIKOV, Kliment",2000,RUS,01:56.1,27.48,29.09,29.98,m,Freestyle
"MARTIN, Daniel Cristian",2000,ROU,01:58.2,27.75,30.07,29.81,m,Freestyle
"MARTOS BACARIZO, Manuel",2000,ESP,01:59.4,28.06,30.04,30.97,m,Freestyle
"HARDER, Ethan W",2000,USA,01:59.8,28.21,30.32,30.62,m,Freestyle
"CHUANG, MU, Lun",2001,TPE,02:01.6,28.92,30.29,31.48,m,Freestyle
"PAVLIDI, Arijus",2002,LTU,02:02.3,29.06,30.63,31.58,m,Freestyle
"RINCON, Anthony",2001,COL,02:02.5,28.4,31.3,31.25,m,Freestyle
"STSEGLOV, Ivan",2000,EST,02:02.6,28.03,31.4,31.16,m,Freestyle
"KOLESNIKOV, Kliment",2000,RUS,01:59.9,28.08,29.49,31.22,m,Freestyle
"MARTIN, Daniel Cristian",2000,ROU,02:00.2,28.36,30.23,31.04,m,Freestyle
"MARTOS BACARIZO, Manuel",2000,ESP,02:00.2,28.25,30.13,30.85,m,Freestyle
"HARDER, Ethan W",2000,USA,02:01.1,28.58,30.23,31.14,m,Freestyle
"CHUANG, MU, Lun",2001,TPE,02:01.6,28.63,30.88,30.77,m,Freestyle
"STSEGLOV, Ivan",2000,EST,02:01.7,28.48,30.7,31.14,m,Freestyle
"PAVLIDI, Arijus",2002,LTU,02:02.1,28.82,30.81,31.34,m,Freestyle
"RINCON, Anthony",2001,COL,02:02.2,28.85,30.69,31.36,m,Freestyle
"ZOMBORI, Gabor",2002,HUN,02:03.0,28.35,31.48,31.9,m,Freestyle
"MENDEZ, Juan Ignacio",2000,ARG,02:03.1,28.67,31.52,30.77,m,Freestyle
"SWINBURN, Stuart",2001,AUS,02:03.9,28.85,31.15,32,m,Freestyle
"WANG, Guanbin",2000,CHN,02:04.2,29.06,31.21,32.43,m,Freestyle
"NATARAJ, Srihari",2001,IND,02:04.8,28.36,31.6,32.29,m,Freestyle
"ARDJOUNE, Abdallah",2001,ALG,02:04.9,28.69,31.53,32.18,m,Freestyle
"TANGKAS, Farrel Armandio",2001,INA,02:05.1,29.84,30.84,32.71,m,Freestyle
"SOMERSET, Sebastian",2001,CAN,02:05.5,29.69,32.31,32.12,m,Freestyle
"BLACKBURN, Lewis",2000,AUS,02:05.7,29.32,31.79,32.77,m,Freestyle
"TAUTKUS, Alanas",2000,LTU,02:06.0,29.09,32.05,32.28,m,Freestyle
"LAHODA, Jakub",2000,CZE,02:07.4,29.67,32.24,33.26,m,Freestyle
"DUVENHAGE, Hendrik P",2001,RSA,02:07.8,28.55,32.05,33.64,m,Freestyle
"KALLSTROEM, Roni",2001,FIN,02:07.8,29.3,32.28,31.89,m,Freestyle
"MIGLBAUER, Marvin",2002,AUT,02:11.0,29.26,33.17,33.85,m,Freestyle
"MOK, Kai Tik Marcus",2001,HKG,02:11.1,30.66,33.09,33.98,m,Freestyle
"KARLSSON, Brynjolfur Oli",2001,ISL,02:11.3,29.58,33.04,33.49,m,Freestyle
"SALCUTAN, Tatiana",2001,MDA,02:10.1,31.02,33.61,33.25,f,Freestyle
"BROAD, Madison",2000,CAN,02:10.3,30.13,33.61,34,f,Freestyle
"MCKEOWN, Kaylee",2001,AUS,02:10.7,31.39,33.03,34.19,f,Freestyle
"WHITE, Rhyan E",2000,USA,02:11.0,30.87,33.16,33.97,f,Freestyle
"PENG, Xuwei",2003,CHN,02:11.8,31.09,33.26,34.29,f,Freestyle
"ILYES, Laura Vanda",2001,HUN,02:13.1,31.85,33.41,34.5,f,Freestyle
"GARCIA KIRICHENKO, Cristina",2001,ESP,02:13.1,31.35,33.55,33.65,f,Freestyle
"EGOROVA, Polina",2000,RUS,02:15.9,30.93,34.2,34.99,f,Freestyle
"WHITE, Rhyan E",2000,USA,02:12.2,30.87,33.89,33.57,f,Freestyle
"BROAD, Madison",2000,CAN,02:12.9,30.54,34.28,34.43,f,Freestyle
"PENG, Xuwei",2003,CHN,02:13.1,31.11,33.61,34.48,f,Freestyle
"GARCIA KIRICHENKO, Cristina",2001,ESP,02:13.3,32.22,33.7,33.7,f,Freestyle
"MCKEOWN, Kaylee",2001,AUS,02:13.3,31.19,34.34,34.45,f,Freestyle
"SALCUTAN, Tatiana",2001,MDA,02:13.6,31.27,34.32,34.36,f,Freestyle
"ILYES, Laura Vanda",2001,HUN,02:13.8,31.74,33.66,34.43,f,Freestyle
"EGOROVA, Polina",2000,RUS,02:13.9,31.34,33.95,35.51,f,Freestyle
"GORBENKO, Anastasya",2003,ISR,02:14.2,32.38,33.71,34.84,f,Freestyle
"FRIAS MOLINA, Tamara",2000,ESP,02:15.1,32.56,34.21,34.73,f,Freestyle
"GOEIJ, Fernanda",2000,BRA,02:15.2,31.9,35.05,34.32,f,Freestyle
"PESSANHA, Maria Luiza",2000,BRA,02:15.9,31.82,35.09,34.72,f,Freestyle
"LOEYNING, Ingeborg Vassbakk",2000,NOR,02:16.5,31.92,34.92,34.44,f,Freestyle
"GOLD, Aleksa",2000,EST,02:17.1,32.98,34.8,35.83,f,Freestyle
"DUHAMEL, Cyrielle",2000,FRA,02:17.5,33.06,34.39,35.33,f,Freestyle
"REZVANTSEVA, Anastassiya",2002,KAZ,02:17.6,31.91,34.9,35.2,f,Freestyle
"HURTADO, Andrea",2000,PER,02:18.4,32.77,34.52,36.11,f,Freestyle
"VENTER, Mariella G",2000,RSA,02:18.7,32.52,34.59,36.08,f,Freestyle
"GALLOWAY, Gina M",2001,NZL,02:18.7,31.42,35.17,35.61,f,Freestyle
"KOLESNYKOVA, Maryna",2000,UKR,02:18.9,32.36,35.46,36.34,f,Freestyle
"CHEN, Szu-chi",2002,TPE,02:19.2,31.12,35.07,36.09,f,Freestyle
"VASKINA, Daria",2002,RUS,02:19.5,32.67,35.6,35.83,f,Freestyle
"TOUILI, Lila",2000,FRA,02:21.2,33.27,34.79,36.95,f,Freestyle
"ARDILES, Trinidad Paz",2003,CHI,02:24.3,32.93,36.35,37.66,f,Freestyle
"KRSTEVSKA, Mia",2001,MKD,02:27.2,33.28,36.74,38.33,f,Freestyle
"VERDINO, Claudia",2001,MON,02:30.3,34.98,37.84,39.09,f,Freestyle
"CHUPKOV, Anton",1997,RUS,02:07.0,29.74,32.57,32.43,m,Freestyle
"KAMMINGA, Arno",1995,NED,02:07.4,29.24,32.99,32.89,m,Freestyle
"PERSSON, Erik",1994,SWE,02:07.7,29.24,32.22,32.86,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:08.5,29.02,32.19,32.92,m,Freestyle
"MURDOCH, Ross",1994,GBR,02:08.6,29.57,32.46,32.87,m,Freestyle
"PRIGODA, Kirill",1995,RUS,02:09.2,28.82,33.2,33.57,m,Freestyle
"CORBEAU, Caspar",2001,NED,02:09.7,29.54,32.92,33.65,m,Freestyle
"WILBY, James",1993,GBR,02:10.3,29.45,32.93,33.73,m,Freestyle
"PERSSON, Erik",1994,SWE,02:07.8,29.29,32.38,32.7,m,Freestyle
